 རོ  །_། 						རོ 	།_། 	དེ 	བཞིན 	གཤེགས་པ 	-འི 	bstod tshogs ka_.txt	     རོ  །_།  དེ  བཞིན  གཤེགས་པ  -འི 
 རོ  །_། 						རོ 	།_། 	དེ 	ཉིད་ཀྱི 	ཕྱིར 	ཁ་ཅིག་ནི 	bstod tshogs ka_.txt	     རོ  །_།  དེ  ཉིད་ཀྱི  ཕྱིར  ཁ་ཅིག་ནི 
 རོ  །_། 						རོ 	།_། 	མི 	གཡོ་བ་ནི 	ཡོངས་སུ 	མི 	bstod tshogs ka_.txt	     རོ  །_།  མི  གཡོ་བ་ནི  ཡོངས་སུ  མི 
 རོ  །_། 						རོ 	།_། 	མཉམ་པ་ནི 	སྔ་མ 	བཞིན་དུ 	དཔེ་མེད་པ 	bstod tshogs ka_.txt	     རོ  །_།  མཉམ་པ་ནི  སྔ་མ  བཞིན་དུ  དཔེ་མེད་པ 
 རོ  །_། 						རོ 	།_། 	མཆོག་གཙོ་བོ 	།_། 	འཇིག 	རྟེན་ལས 	bstod tshogs ka_.txt	     རོ  །_།  མཆོག་གཙོ་བོ  །_།  འཇིག  རྟེན་ལས 
 རོ ་ཞེས 						རོ	་ཞེས 	ཟེར་ཏེ 	།_ 	འདིར 	ཚིག་གི 	bstod tshogs ka_.txt	     རོ ་ཞེས  ཟེར་ཏེ  །_  འདིར  ཚིག་གི 
 རོ ལ་གྱི 						རོ	ལ་གྱི 	ངོ་བོ 	-ར 	ཞེན་ནས 	ཞུགས་པ 	bstod tshogs ka_.txt	     རོ ལ་གྱི  ངོ་བོ  -ར  ཞེན་ནས  ཞུགས་པ 
 རོ  །_། 						རོ 	།_། 	ཐུགས 	རྗེ 	-འི 	ཤུགས་ནི 	bstod tshogs ka_.txt	     རོ  །_།  ཐུགས  རྗེ  -འི  ཤུགས་ནི 
 རོ  །_། 						རོ 	།_། 	གནས 	ཉིད་ལེགས 	རྫོགས་པ 	།_ 	bstod tshogs ka_.txt	     རོ  །_།  གནས  ཉིད་ལེགས  རྫོགས་པ  །_ 
ཕྱིར  རོ  །_། 	མྱ་ངན་ལས 	འདས་པ 	མེད་པ 	-འི 	ཕྱིར 	རོ 	།_། 	ལ 	ལ་ལ 	-ས་ནི་བདེ 	གནས་ཞེས 	bstod tshogs ka_.txt	མྱ་ངན་ལས  འདས་པ  མེད་པ  -འི  ཕྱིར  རོ  །_།  ལ  ལ་ལ  -ས་ནི་བདེ  གནས་ཞེས 
 རོ  །_། 						རོ 	།_། 	ཡང་ན 	ངེས་པ 	མེད་པ 	-འི 	bstod tshogs ka_.txt	     རོ  །_།  ཡང་ན  ངེས་པ  མེད་པ  -འི 
 རོ ལ་ཏུ 						རོ	ལ་ཏུ 	ཕྱིན་པ 	ཐམས་ཅད་དོ 	།_། 	གང 	bstod tshogs ka_.txt	     རོ ལ་ཏུ  ཕྱིན་པ  ཐམས་ཅད་དོ  །_།  གང 
 རོ  །_། 						རོ 	།_། 	གང 	དག 	ལ་དུ 	-ས་གསུམ་ལ 	bstod tshogs ka_.txt	     རོ  །_།  གང  དག  ལ་དུ  -ས་གསུམ་ལ 
 རོ ལ 						རོ	ལ 	རྒོལ་བ་འཇོམས 	།_། 	རྒྱ 	མཚོ 	bstod tshogs ka_.txt	     རོ ལ  རྒོལ་བ་འཇོམས  །_།  རྒྱ  མཚོ 
དབྱིངས་ལ  རོ ལ 	།_། 	རྣམ 	དག 	ཆོས་ཀྱི 	དབྱིངས་ལ 	རོ	ལ 	མཛད་ཅིང 	།_། 	ཤེས 	བྱ 	bstod tshogs ka_.txt	།_།  རྣམ  དག  ཆོས་ཀྱི  དབྱིངས་ལ  རོ ལ  མཛད་ཅིང  །_།  ཤེས  བྱ 
 རོ ལ་བྱོན 						རོ	ལ་བྱོན 	།_། 	ཐམས་ཅད 	མཁྱེན་པ 	ལྷ་ཡི 	bstod tshogs ka_.txt	     རོ ལ་བྱོན  །_།  ཐམས་ཅད  མཁྱེན་པ  ལྷ་ཡི 
