 ནོ ད་སེམས 						ནོ	ད་སེམས 	ལེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	bstod tshogs ka_.txt	     ནོ ད་སེམས  ལེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	བཅོམ 	ལྡན 	འདས་ཀྱི 	ཡོན་ཏན་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  བཅོམ  ལྡན  འདས་ཀྱི  ཡོན་ཏན་ནི 
 ནོ  ཞེ་ན 						ནོ 	ཞེ་ན 	།_ 	དེའི 	ཕྱིར་འདིར 	།_ 	bstod tshogs ka_.txt	     ནོ  ཞེ་ན  །_  དེའི  ཕྱིར་འདིར  །_ 
 ནོ  །_། 						ནོ 	།_། 	དེ 	བས་ན 	རྒྱུ་དང 	འབྲས་བུ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  བས་ན  རྒྱུ་དང  འབྲས་བུ 
 ནོ  །_། 						ནོ 	།_། 	དེ 	དག་གི 	སྙིང་རྗེ་དེ་ནི 	དམིགས་པ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  དག་གི  སྙིང་རྗེ་དེ་ནི  དམིགས་པ 
ཡིད་བཞིན་གྱི  ནོ ར་བུ 	།_ 	ཆོས་ཀྱི 	འཁོར་ལོ 	བསྐོར་བ 	ཡིད་བཞིན་གྱི 	ནོ	ར་བུ 	རིན་པོ་ཆེ 	-འི 	རྒྱལ་པོ 	བས་ཀྱང 	bstod tshogs ka_.txt	།_  ཆོས་ཀྱི  འཁོར་ལོ  བསྐོར་བ  ཡིད་བཞིན་གྱི  ནོ ར་བུ  རིན་པོ་ཆེ  -འི  རྒྱལ་པོ  བས་ཀྱང 
 ནོ ་ཞེས 						ནོ	་ཞེས 	བྱ་བ 	མི 	དཔོགས་པ 	དེ་དག་ཏུ 	bstod tshogs ka_.txt	     ནོ ་ཞེས  བྱ་བ  མི  དཔོགས་པ  དེ་དག་ཏུ 
 ནོ  །_། 						ནོ 	།_། 	དེ 	ཉིད་བདེ 	གནས་ཡིན་ཏེ 	འདི་ལ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  ཉིད་བདེ  གནས་ཡིན་ཏེ  འདི་ལ 
 ནོ  །_། 						ནོ 	།_། 	ཐེག་པ 	ཆེན་པོ 	-འི 	ངང་ཚུལ་དུ 	bstod tshogs ka_.txt	     ནོ  །_།  ཐེག་པ  ཆེན་པོ  -འི  ངང་ཚུལ་དུ 
 ནོ  །_། 						ནོ 	།_། 	བཅོམ 	ལྡན 	འདས 	རྣམས 	bstod tshogs ka_.txt	     ནོ  །_།  བཅོམ  ལྡན  འདས  རྣམས 
 ནོ  །_། 						ནོ 	།_། 	དེ 	དག་གི 	ངོ་བོ 	ཉིད་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  དེ  དག་གི  ངོ་བོ  ཉིད་ནི 
 ནོ  །_། 						ནོ 	།_། 	སྦྱིན་པ 	མཆོག་ཉིད་ཀྱིས 	གནས་ཀྱི 	མཆོག་ཉིད་ཀྱི་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  སྦྱིན་པ  མཆོག་ཉིད་ཀྱིས  གནས་ཀྱི  མཆོག་ཉིད་ཀྱི་ནི 
 ནོ  །_། 						ནོ 	།_། 	དེས 	གནས་མཆོག 	ཉིད 	སྐྱེས་པ་སྟེ 	bstod tshogs ka_.txt	     ནོ  །_།  དེས  གནས་མཆོག  ཉིད  སྐྱེས་པ་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	སངས 	རྒྱས 	ཐམས་ཅད 	འདུ་བ་ལས་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  སངས  རྒྱས  ཐམས་ཅད  འདུ་བ་ལས་ནི 
འབྲས་བུ་ཡིན  ནོ  །_། 	བདེ་བ 	-ར 	གཤེགས་པ 	-འི 	འབྲས་བུ་ཡིན 	ནོ 	།_། 	ལ 	ལ་ལ 	-ས་ནི 	མགོན་པོ་ཞེས 	bstod tshogs ka_.txt	བདེ་བ  -ར  གཤེགས་པ  -འི  འབྲས་བུ་ཡིན  ནོ  །_།  ལ  ལ་ལ  -ས་ནི  མགོན་པོ་ཞེས 
 ནོ  །_། 						ནོ 	།_། 	མགོན་པོ་ནི 	ས་གསུམ་གྱི་རྗེའོ 	།_། 	ཀུན་གྱི་ཞེས 	bstod tshogs ka_.txt	     ནོ  །_།  མགོན་པོ་ནི  ས་གསུམ་གྱི་རྗེའོ  །_།  ཀུན་གྱི་ཞེས 
བཞིན  ནོ ར་བུ 	དག 	གྱུར་པས 	།_། 	ཡིད 	བཞིན 	ནོ	ར་བུ 	ལྟ་བུ 	-ར 	གཞན་དོན་མཛད 	།_། 	bstod tshogs ka_.txt	དག  གྱུར་པས  །_།  ཡིད  བཞིན  ནོ ར་བུ  ལྟ་བུ  -ར  གཞན་དོན་མཛད  །_། 
